sample_id,depth,nrs_trip_code,nrs_sample_code,amplicon,g__Chattonella_abundance_20K,g__Heterosigma_abundance_20K,g__Pseudochattonella_abundance_20K,g__Trichodesmium_abundance_20K,s__Noctiluca_scintillans_abundance_20K
102.100.100/141253,85.0,MAI20210215,MAI20210215_85,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141253,85.0,MAI20210215,MAI20210215_85,27f519r_bacteria,,,,1,
102.100.100/141254,40.0,NSI20180718,NSI20180718_40,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/141254,40.0,NSI20180718,NSI20180718_40,27f519r_bacteria,,,,1,
102.100.100/141255,20.0,NSI20180817,NSI20180817_20,18Sv4F18Sv4R_v4_eukaryote,,,,,55
102.100.100/141255,20.0,NSI20180817,NSI20180817_20,27f519r_bacteria,,,,1,
102.100.100/141256,40.0,NSI20181023,NSI20181023_40,27f519r_bacteria,,,,14,
102.100.100/141257,30.0,NSI20181115,NSI20181115_30,18Sv4F18Sv4R_v4_eukaryote,,,,,75
102.100.100/141258,30.0,NSI20190322,NSI20190322_30,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141259,10.0,NSI20190416,NSI20190416_10,18Sv4F18Sv4R_v4_eukaryote,,,32,,
102.100.100/141259,10.0,NSI20190416,NSI20190416_10,27f519r_bacteria,,,,83,
102.100.100/141260,20.0,NSI20190527,NSI20190527_20,18Sv4F18Sv4R_v4_eukaryote,1,,,,
102.100.100/141261,40.0,NSI20190618,NSI20190618_40,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141263,20.0,NSI20190821,NSI20190821_20,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141264,20.0,NSI20190916,NSI20190916_20,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/141264,20.0,NSI20190916,NSI20190916_20,27f519r_bacteria,,,,3,
102.100.100/141265,20.0,NSI20191024,NSI20191024_20,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/141267,30.0,NSI20200228,NSI20200228_30,18Sv4F18Sv4R_v4_eukaryote,,,,,9
102.100.100/141267,30.0,NSI20200228,NSI20200228_30,27f519r_bacteria,,,,1,
102.100.100/141268,0.0,NSI20200528,NSI20200528_0,18Sv4F18Sv4R_v4_eukaryote,,,17,,
102.100.100/141269,50.0,NSI20200528,NSI20200528_50,27f519r_bacteria,,,,1,
102.100.100/141270,0.0,NSI20200625,NSI20200625_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,1
102.100.100/141270,0.0,NSI20200625,NSI20200625_0,27f519r_bacteria,,,,1,
102.100.100/141271,50.0,NSI20200625,NSI20200625_50,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/141272,0.0,NSI20200720,NSI20200720_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,1
102.100.100/141272,0.0,NSI20200720,NSI20200720_0,27f519r_bacteria,,,,4,
102.100.100/141273,50.0,NSI20200720,NSI20200720_50,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141274,0.0,NSI20200817,NSI20200817_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/141274,0.0,NSI20200817,NSI20200817_0,27f519r_bacteria,,,,3,
102.100.100/141275,50.0,NSI20200817,NSI20200817_50,18Sv4F18Sv4R_v4_eukaryote,,,16,,1
102.100.100/141276,0.0,NSI20200917,NSI20200917_0,18Sv4F18Sv4R_v4_eukaryote,,,12,,3
102.100.100/141276,0.0,NSI20200917,NSI20200917_0,27f519r_bacteria,,,,18,
102.100.100/141278,0.0,NSI20201022,NSI20201022_0,18Sv4F18Sv4R_v4_eukaryote,,,32,,1
102.100.100/141278,0.0,NSI20201022,NSI20201022_0,27f519r_bacteria,,,,22,
102.100.100/141279,50.0,NSI20201022,NSI20201022_50,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/141279,50.0,NSI20201022,NSI20201022_50,27f519r_bacteria,,,,1,
102.100.100/141280,0.0,PHB20170921,PHB20170921_0,18Sv4F18Sv4R_v4_eukaryote,,3,2,,661
102.100.100/141281,10.0,PHB20170921,PHB20170921_10,18Sv4F18Sv4R_v4_eukaryote,,3,,,146
102.100.100/141281,10.0,PHB20170921,PHB20170921_10,27f519r_bacteria,,,,1,
102.100.100/141282,100.0,PHB20170921,PHB20170921_100,18Sv4F18Sv4R_v4_eukaryote,,,,,30
102.100.100/141283,0.0,PHB20171024,PHB20171024_0,18Sv4F18Sv4R_v4_eukaryote,,2,,,365
102.100.100/141284,100.0,PHB20171024,PHB20171024_100,18Sv4F18Sv4R_v4_eukaryote,,5,4,,68
102.100.100/141285,50.0,PHB20180528,PHB20180528_50,18Sv4F18Sv4R_v4_eukaryote,,,2,,1
102.100.100/141286,25.0,PHB20180724,PHB20180724_25,18Sv4F18Sv4R_v4_eukaryote,,,8,,6
102.100.100/141286,25.0,PHB20180724,PHB20180724_25,27f519r_bacteria,,,,1,
102.100.100/141287,25.0,PHB20180927,PHB20180927_25,18Sv4F18Sv4R_v4_eukaryote,,,,,47
102.100.100/141288,50.0,PHB20190227,PHB20190227_50,18Sv4F18Sv4R_v4_eukaryote,,,,,34
102.100.100/141289,25.0,PHB20190408,PHB20190408_25,27f519r_bacteria,,,,1,
102.100.100/141290,0.0,PHB20200224,PHB20200224_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,286
102.100.100/141290,0.0,PHB20200224,PHB20200224_0,27f519r_bacteria,,,,12,
102.100.100/141291,100.0,PHB20200224,PHB20200224_100,18Sv4F18Sv4R_v4_eukaryote,,,,,16
102.100.100/141291,100.0,PHB20200224,PHB20200224_100,27f519r_bacteria,,,,3,
102.100.100/141292,0.0,PHB20210210,PHB20210210_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,181
102.100.100/141292,0.0,PHB20210210,PHB20210210_0,27f519r_bacteria,,,,17,
102.100.100/141293,100.0,PHB20210210,PHB20210210_100,18Sv4F18Sv4R_v4_eukaryote,,,,,6
102.100.100/141295,40.0,ROT20181130,ROT20181130_40,18Sv4F18Sv4R_v4_eukaryote,,,197,,2
102.100.100/141296,40.0,ROT20181211,ROT20181211_40,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/141296,40.0,ROT20181211,ROT20181211_40,27f519r_bacteria,,,,1,
102.100.100/141297,40.0,ROT20190125,ROT20190125_40,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/141298,40.0,ROT20190221,ROT20190221_40,18Sv4F18Sv4R_v4_eukaryote,,,19,,
102.100.100/141299,40.0,ROT20190306,ROT20190306_40,18Sv4F18Sv4R_v4_eukaryote,,,84,,1
102.100.100/141299,40.0,ROT20190306,ROT20190306_40,27f519r_bacteria,,,,1,
102.100.100/141302,20.0,ROT20190621,ROT20190621_20,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/141303,10.0,ROT20190711,ROT20190711_10,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141304,30.0,ROT20190819,ROT20190819_30,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141304,30.0,ROT20190819,ROT20190819_30,27f519r_bacteria,,,,1,
102.100.100/141305,40.0,ROT20191011,ROT20191011_40,18Sv4F18Sv4R_v4_eukaryote,,,49,,
102.100.100/141305,40.0,ROT20191011,ROT20191011_40,27f519r_bacteria,,,,3,
102.100.100/141306,30.0,ROT20191104,ROT20191104_30,18Sv4F18Sv4R_v4_eukaryote,,,13,,
102.100.100/141306,30.0,ROT20191104,ROT20191104_30,27f519r_bacteria,,,,62,
102.100.100/141307,30.0,ROT20191126,ROT20191126_30,18Sv4F18Sv4R_v4_eukaryote,,,22,,
102.100.100/141307,30.0,ROT20191126,ROT20191126_30,27f519r_bacteria,,,,1,
102.100.100/141308,30.0,ROT20191218,ROT20191218_30,18Sv4F18Sv4R_v4_eukaryote,,,14,,
102.100.100/141309,20.0,ROT20200304,ROT20200304_20,18Sv4F18Sv4R_v4_eukaryote,,,7,,1
102.100.100/141309,20.0,ROT20200304,ROT20200304_20,27f519r_bacteria,,,,5,
102.100.100/141311,20.0,ROT20200605,ROT20200605_20,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141312,20.0,ROT20200710,ROT20200710_20,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141313,30.0,ROT20200730,ROT20200730_30,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141314,0.0,ROT20200825,ROT20200825_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141315,40.0,ROT20200825,ROT20200825_40,18Sv4F18Sv4R_v4_eukaryote,,,10,,
102.100.100/141316,46.0,ROT20200825,ROT20200825_46,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/141317,0.0,ROT20201013,ROT20201013_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/141317,0.0,ROT20201013,ROT20201013_0,27f519r_bacteria,,,,3,
102.100.100/141318,46.0,ROT20201013,ROT20201013_46,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141319,0.0,ROT20201106,ROT20201106_0,18Sv4F18Sv4R_v4_eukaryote,,,24,,
102.100.100/141319,0.0,ROT20201106,ROT20201106_0,27f519r_bacteria,,,,36,
102.100.100/141320,46.0,ROT20201106,ROT20201106_46,18Sv4F18Sv4R_v4_eukaryote,,,16,,
102.100.100/141320,46.0,ROT20201106,ROT20201106_46,27f519r_bacteria,,,,14,
102.100.100/141321,0.0,ROT20201127,ROT20201127_0,18Sv4F18Sv4R_v4_eukaryote,,,42,,3
102.100.100/141321,0.0,ROT20201127,ROT20201127_0,27f519r_bacteria,,,,2,
102.100.100/141322,46.0,ROT20201127,ROT20201127_46,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141323,20.0,YON20171215,YON20171215_20,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141323,20.0,YON20171215,YON20171215_20,27f519r_bacteria,,,,55,
102.100.100/141324,20.0,YON20180329,YON20180329_20,27f519r_bacteria,,,,18,
102.100.100/141326,20.0,YON20190313,YON20190313_20,18Sv4F18Sv4R_v4_eukaryote,,,3,,6
102.100.100/141326,20.0,YON20190313,YON20190313_20,27f519r_bacteria,,,,1,
102.100.100/141327,20.0,YON20200212,YON20200212_20,18Sv4F18Sv4R_v4_eukaryote,,,,,4
102.100.100/141327,20.0,YON20200212,YON20200212_20,27f519r_bacteria,,,,1,
102.100.100/141328,20.0,YON20200306,YON20200306_20,18Sv4F18Sv4R_v4_eukaryote,,1,2,,
102.100.100/141328,20.0,YON20200306,YON20200306_20,27f519r_bacteria,,,,60,
102.100.100/141329,20.0,YON20200611,YON20200611_20,18Sv4F18Sv4R_v4_eukaryote,,1,2,,
102.100.100/141329,20.0,YON20200611,YON20200611_20,27f519r_bacteria,,,,201,
102.100.100/141330,0.0,YON20200710,YON20200710_0,18Sv4F18Sv4R_v4_eukaryote,,,18,,
102.100.100/141331,26.0,YON20200710,YON20200710_26,18Sv4F18Sv4R_v4_eukaryote,,,21,,
102.100.100/141331,26.0,YON20200710,YON20200710_26,27f519r_bacteria,,,,6,
102.100.100/141332,0.0,YON20200802,YON20200802_0,18Sv4F18Sv4R_v4_eukaryote,,,47,,
102.100.100/141333,26.0,YON20200802,YON20200802_26,18Sv4F18Sv4R_v4_eukaryote,,,39,,
102.100.100/141334,0.0,YON20200904,YON20200904_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,49
102.100.100/141334,0.0,YON20200904,YON20200904_0,27f519r_bacteria,,,,27,
102.100.100/141335,26.0,YON20200904,YON20200904_26,18Sv4F18Sv4R_v4_eukaryote,,,13,,
102.100.100/141335,26.0,YON20200904,YON20200904_26,27f519r_bacteria,,,,5,
102.100.100/141336,0.0,YON20200926,YON20200926_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141336,0.0,YON20200926,YON20200926_0,27f519r_bacteria,,,,338,
102.100.100/141337,25.0,YON20200926,YON20200926_25,18Sv4F18Sv4R_v4_eukaryote,,,17,,
102.100.100/141337,25.0,YON20200926,YON20200926_25,27f519r_bacteria,,,,7,
102.100.100/141338,0.0,YON20201026,YON20201026_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/141338,0.0,YON20201026,YON20201026_0,27f519r_bacteria,,,,48,
102.100.100/141339,26.0,YON20201026,YON20201026_26,18Sv4F18Sv4R_v4_eukaryote,,,17,,14
102.100.100/141339,26.0,YON20201026,YON20201026_26,27f519r_bacteria,,,,28,
102.100.100/141340,0.0,YON20201120,YON20201120_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141340,0.0,YON20201120,YON20201120_0,27f519r_bacteria,,,,136,
102.100.100/141341,26.0,YON20201120,YON20201120_26,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141341,26.0,YON20201120,YON20201120_26,27f519r_bacteria,,,,125,
102.100.100/141342,0.0,YON20201209,YON20201209_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/141342,0.0,YON20201209,YON20201209_0,27f519r_bacteria,,,,50,
102.100.100/141343,26.0,YON20201209,YON20201209_26,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/141343,26.0,YON20201209,YON20201209_26,27f519r_bacteria,,,,24,
102.100.100/141344,0.0,YON20210127,YON20210127_0,18Sv4F18Sv4R_v4_eukaryote,,1,1,,
102.100.100/141344,0.0,YON20210127,YON20210127_0,27f519r_bacteria,,,,440,
102.100.100/141345,26.0,YON20210127,YON20210127_26,18Sv4F18Sv4R_v4_eukaryote,,1,2,,
102.100.100/141345,26.0,YON20210127,YON20210127_26,27f519r_bacteria,,,,63,
102.100.100/141346,0.0,YON20210209,YON20210209_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/141346,0.0,YON20210209,YON20210209_0,27f519r_bacteria,,,,111,
102.100.100/141347,26.0,YON20210209,YON20210209_26,27f519r_bacteria,,,,73,
102.100.100/21814,0.0,PHB20140211,PHB20140211_0,18Sv4F18Sv4R_v4_eukaryote,,,26,,437
102.100.100/21814,0.0,PHB20140211,PHB20140211_0,27f519r_bacteria,,,,2,
102.100.100/21815,10.0,PHB20140211,PHB20140211_10,18Sv4F18Sv4R_v4_eukaryote,,,16,,218
102.100.100/21816,25.0,PHB20140211,PHB20140211_25,18Sv4F18Sv4R_v4_eukaryote,,4,50,,220
102.100.100/21817,50.0,PHB20140211,PHB20140211_50,18Sv4F18Sv4R_v4_eukaryote,,,4,,425
102.100.100/21818,75.0,PHB20140211,PHB20140211_75,18Sv4F18Sv4R_v4_eukaryote,,1,,,130
102.100.100/21819,100.0,PHB20140211,PHB20140211_100,18Sv4F18Sv4R_v4_eukaryote,,,,,5
102.100.100/21820,0.0,PHB20150518,PHB20150518_0,18Sv4F18Sv4R_v4_eukaryote,,5,2,,
102.100.100/21821,10.0,PHB20150518,PHB20150518_10,18Sv4F18Sv4R_v4_eukaryote,,8,,,
102.100.100/21822,25.0,PHB20150518,PHB20150518_25,18Sv4F18Sv4R_v4_eukaryote,,26,1,,
102.100.100/21823,50.0,PHB20150518,PHB20150518_50,18Sv4F18Sv4R_v4_eukaryote,,7,2,,
102.100.100/21824,75.0,PHB20150518,PHB20150518_75,18Sv4F18Sv4R_v4_eukaryote,,1,1,,
102.100.100/21825,100.0,PHB20150518,PHB20150518_100,18Sv4F18Sv4R_v4_eukaryote,,3,2,,
102.100.100/21826,0.0,MAI20150421,MAI20150421_0,18Sv4F18Sv4R_v4_eukaryote,,1,26,,
102.100.100/21827,10.0,MAI20150421,MAI20150421_10,18Sv4F18Sv4R_v4_eukaryote,,4,13,,
102.100.100/21828,20.0,MAI20150421,MAI20150421_20,18Sv4F18Sv4R_v4_eukaryote,,3,5,,12
102.100.100/21829,50.0,MAI20150421,MAI20150421_50,18Sv4F18Sv4R_v4_eukaryote,,4,5,,
102.100.100/21830,75.0,MAI20150421,MAI20150421_75,18Sv4F18Sv4R_v4_eukaryote,,23,9,,
102.100.100/21831,85.0,MAI20150421,MAI20150421_85,18Sv4F18Sv4R_v4_eukaryote,,36,17,,
102.100.100/21832,0.0,MAI20150526,MAI20150526_0,18Sv4F18Sv4R_v4_eukaryote,,,18,,
102.100.100/21833,10.0,MAI20150526,MAI20150526_10,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/21834,20.0,MAI20150526,MAI20150526_20,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/21835,50.0,MAI20150526,MAI20150526_50,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/21836,75.0,MAI20150526,MAI20150526_75,18Sv4F18Sv4R_v4_eukaryote,,2,4,,
102.100.100/21837,85.0,MAI20150526,MAI20150526_85,18Sv4F18Sv4R_v4_eukaryote,,3,12,,
102.100.100/21838,0.0,NSI20150512,NSI20150512_0,18Sv4F18Sv4R_v4_eukaryote,,,16,,
102.100.100/21838,0.0,NSI20150512,NSI20150512_0,27f519r_bacteria,,,,20,
102.100.100/21839,10.0,NSI20150512,NSI20150512_10,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/21839,10.0,NSI20150512,NSI20150512_10,27f519r_bacteria,,,,21,
102.100.100/21840,20.0,NSI20150512,NSI20150512_20,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/21840,20.0,NSI20150512,NSI20150512_20,27f519r_bacteria,,,,11,
102.100.100/21841,30.0,NSI20150512,NSI20150512_30,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/21841,30.0,NSI20150512,NSI20150512_30,27f519r_bacteria,,,,5,
102.100.100/21842,40.0,NSI20150512,NSI20150512_40,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/21842,40.0,NSI20150512,NSI20150512_40,27f519r_bacteria,,,,27,
102.100.100/21843,50.0,NSI20150512,NSI20150512_50,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/21843,50.0,NSI20150512,NSI20150512_50,27f519r_bacteria,,,,1,
102.100.100/21844,0.0,NSI20150624,NSI20150624_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/21845,10.0,NSI20150624,NSI20150624_10,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/21845,10.0,NSI20150624,NSI20150624_10,27f519r_bacteria,,,,5,
102.100.100/21846,20.0,NSI20150624,NSI20150624_20,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/21847,30.0,NSI20150624,NSI20150624_30,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/21847,30.0,NSI20150624,NSI20150624_30,27f519r_bacteria,,,,1,
102.100.100/21848,40.0,NSI20150624,NSI20150624_40,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/21850,0.0,NSI20150528,NSI20150528_0,18Sv4F18Sv4R_v4_eukaryote,,,9,,
102.100.100/21850,0.0,NSI20150528,NSI20150528_0,27f519r_bacteria,,,,1,
102.100.100/21851,10.0,NSI20150528,NSI20150528_10,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/21851,10.0,NSI20150528,NSI20150528_10,27f519r_bacteria,,,,3,
102.100.100/21852,20.0,NSI20150528,NSI20150528_20,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/21853,30.0,NSI20150528,NSI20150528_30,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/21853,30.0,NSI20150528,NSI20150528_30,27f519r_bacteria,,,,3,
102.100.100/21854,40.0,NSI20150528,NSI20150528_40,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/21855,50.0,NSI20150528,NSI20150528_50,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/21856,0.0,PHB20150630,PHB20150630_0,18Sv4F18Sv4R_v4_eukaryote,,,,,27
102.100.100/21857,10.0,PHB20150630,PHB20150630_10,18Sv4F18Sv4R_v4_eukaryote,,,1,,45
102.100.100/21858,25.0,PHB20150630,PHB20150630_25,18Sv4F18Sv4R_v4_eukaryote,,,3,,6
102.100.100/21862,0.0,PHB20150330,PHB20150330_0,18Sv4F18Sv4R_v4_eukaryote,,,13,,27
102.100.100/21862,0.0,PHB20150330,PHB20150330_0,27f519r_bacteria,,,,43,
102.100.100/21863,10.0,PHB20150330,PHB20150330_10,18Sv4F18Sv4R_v4_eukaryote,,,14,,18
102.100.100/21863,10.0,PHB20150330,PHB20150330_10,27f519r_bacteria,,,,10,
102.100.100/21864,25.0,PHB20150330,PHB20150330_25,18Sv4F18Sv4R_v4_eukaryote,,,16,,4
102.100.100/21864,25.0,PHB20150330,PHB20150330_25,27f519r_bacteria,,,,45,
102.100.100/21865,50.0,PHB20150330,PHB20150330_50,18Sv4F18Sv4R_v4_eukaryote,,,9,,52
102.100.100/21865,50.0,PHB20150330,PHB20150330_50,27f519r_bacteria,,,,6,
102.100.100/21866,75.0,PHB20150330,PHB20150330_75,18Sv4F18Sv4R_v4_eukaryote,,,,,17
102.100.100/21866,75.0,PHB20150330,PHB20150330_75,27f519r_bacteria,,,,5,
102.100.100/21867,100.0,PHB20150330,PHB20150330_100,18Sv4F18Sv4R_v4_eukaryote,,,,,29
102.100.100/21867,100.0,PHB20150330,PHB20150330_100,27f519r_bacteria,,,,7,
102.100.100/21868,0.0,ROT20150924,ROT20150924_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,4
102.100.100/21868,0.0,ROT20150924,ROT20150924_0,27f519r_bacteria,,,,6,
102.100.100/21869,10.0,ROT20150924,ROT20150924_10,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/21869,10.0,ROT20150924,ROT20150924_10,27f519r_bacteria,,,,17,
102.100.100/21870,20.0,ROT20150924,ROT20150924_20,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/21870,20.0,ROT20150924,ROT20150924_20,27f519r_bacteria,,,,9,
102.100.100/21871,30.0,ROT20150924,ROT20150924_30,18Sv4F18Sv4R_v4_eukaryote,,,1,,4
102.100.100/21871,30.0,ROT20150924,ROT20150924_30,27f519r_bacteria,,,,2,
102.100.100/21872,40.0,ROT20150924,ROT20150924_40,18Sv4F18Sv4R_v4_eukaryote,,,29,,
102.100.100/21872,40.0,ROT20150924,ROT20150924_40,27f519r_bacteria,,,,14,
102.100.100/21873,47.0,ROT20150924,ROT20150924_47,18Sv4F18Sv4R_v4_eukaryote,,1,28,,
102.100.100/21874,0.0,PHB20150723,PHB20150723_0,18Sv4F18Sv4R_v4_eukaryote,,5,2,,449
102.100.100/21875,10.0,PHB20150723,PHB20150723_10,18Sv4F18Sv4R_v4_eukaryote,,3,1,,389
102.100.100/21876,25.0,PHB20150723,PHB20150723_25,18Sv4F18Sv4R_v4_eukaryote,,,3,,122
102.100.100/21877,50.0,PHB20150723,PHB20150723_50,18Sv4F18Sv4R_v4_eukaryote,,1,,,360
102.100.100/21878,75.0,PHB20150723,PHB20150723_75,18Sv4F18Sv4R_v4_eukaryote,,,1,,28
102.100.100/21879,100.0,PHB20150723,PHB20150723_100,18Sv4F18Sv4R_v4_eukaryote,,,,,117
102.100.100/21880,0.0,ROT20151022,ROT20151022_0,18Sv4F18Sv4R_v4_eukaryote,,,194,,1
102.100.100/21880,0.0,ROT20151022,ROT20151022_0,27f519r_bacteria,,,,13,
102.100.100/21881,10.0,ROT20151022,ROT20151022_10,18Sv4F18Sv4R_v4_eukaryote,,,90,,
102.100.100/21881,10.0,ROT20151022,ROT20151022_10,27f519r_bacteria,,,,2,
102.100.100/21882,20.0,ROT20151022,ROT20151022_20,18Sv4F18Sv4R_v4_eukaryote,,,99,,
102.100.100/21882,20.0,ROT20151022,ROT20151022_20,27f519r_bacteria,,,,72,
102.100.100/21883,30.0,ROT20151022,ROT20151022_30,18Sv4F18Sv4R_v4_eukaryote,,,100,,
102.100.100/21883,30.0,ROT20151022,ROT20151022_30,27f519r_bacteria,,,,2,
102.100.100/21884,40.0,ROT20151022,ROT20151022_40,18Sv4F18Sv4R_v4_eukaryote,,,114,,
102.100.100/21884,40.0,ROT20151022,ROT20151022_40,27f519r_bacteria,,,,1,
102.100.100/21885,47.0,ROT20151022,ROT20151022_47,18Sv4F18Sv4R_v4_eukaryote,,,66,,1
102.100.100/21885,47.0,ROT20151022,ROT20151022_47,27f519r_bacteria,,,,3,
102.100.100/21886,0.0,PHB20150819,PHB20150819_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,55
102.100.100/21887,10.0,PHB20150819,PHB20150819_10,18Sv4F18Sv4R_v4_eukaryote,,,4,,177
102.100.100/21888,25.0,PHB20150819,PHB20150819_25,18Sv4F18Sv4R_v4_eukaryote,,,,,198
102.100.100/21888,25.0,PHB20150819,PHB20150819_25,27f519r_bacteria,,,,2,
102.100.100/21889,50.0,PHB20150819,PHB20150819_50,18Sv4F18Sv4R_v4_eukaryote,,,,,103
102.100.100/21890,75.0,PHB20150819,PHB20150819_75,18Sv4F18Sv4R_v4_eukaryote,,,2,,25
102.100.100/21891,100.0,PHB20150819,PHB20150819_100,18Sv4F18Sv4R_v4_eukaryote,,,,,48
102.100.100/21892,0.0,MAI20150723,MAI20150723_0,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/21893,10.0,MAI20150723,MAI20150723_10,18Sv4F18Sv4R_v4_eukaryote,,,9,,10
102.100.100/21895,50.0,MAI20150723,MAI20150723_50,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/21898,0.0,PHB20151013,PHB20151013_0,18Sv4F18Sv4R_v4_eukaryote,,,,,34
102.100.100/21899,10.0,PHB20151013,PHB20151013_10,18Sv4F18Sv4R_v4_eukaryote,,,3,,71
102.100.100/21900,25.0,PHB20151013,PHB20151013_25,18Sv4F18Sv4R_v4_eukaryote,,,6,,19
102.100.100/21901,50.0,PHB20151013,PHB20151013_50,18Sv4F18Sv4R_v4_eukaryote,,,1,,47
102.100.100/21903,100.0,PHB20151013,PHB20151013_100,18Sv4F18Sv4R_v4_eukaryote,,,,,21
102.100.100/21904,0.0,MAI20150811,MAI20150811_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,3
102.100.100/21905,10.0,MAI20150811,MAI20150811_10,18Sv4F18Sv4R_v4_eukaryote,,,6,,9
102.100.100/21906,20.0,MAI20150811,MAI20150811_20,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/21907,50.0,MAI20150811,MAI20150811_50,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/21908,75.0,MAI20150811,MAI20150811_75,18Sv4F18Sv4R_v4_eukaryote,,,5,,35
102.100.100/21909,85.0,MAI20150811,MAI20150811_85,18Sv4F18Sv4R_v4_eukaryote,,,,,28
102.100.100/21910,0.0,PHB20151115,PHB20151115_0,18Sv4F18Sv4R_v4_eukaryote,,13,3,,2665
102.100.100/21911,10.0,PHB20151115,PHB20151115_10,18Sv4F18Sv4R_v4_eukaryote,,9,1,,458
102.100.100/21912,25.0,PHB20151115,PHB20151115_25,18Sv4F18Sv4R_v4_eukaryote,,3,2,,1230
102.100.100/21914,75.0,PHB20151115,PHB20151115_75,18Sv4F18Sv4R_v4_eukaryote,,,,,108
102.100.100/21915,100.0,PHB20151115,PHB20151115_100,18Sv4F18Sv4R_v4_eukaryote,,,,,7
102.100.100/21916,0.0,MAI20151001,MAI20151001_0,18Sv4F18Sv4R_v4_eukaryote,,1,45,,350
102.100.100/21917,10.0,MAI20151001,MAI20151001_10,18Sv4F18Sv4R_v4_eukaryote,,,33,,149
102.100.100/21918,20.0,MAI20151001,MAI20151001_20,18Sv4F18Sv4R_v4_eukaryote,,,19,,30
